,Geographic area,share_white,share_black,share_native_american,share_asian,share_hispanic
0,AK,16068.8,199.7,16144.4,488.7,756.5
1,AL,41909.2,13480.3,381.1,277.3,1722.5
2,AR,42441.2,8816.6,411.1,258.1,2311.7
3,AZ,27028.0,430.5,12894.0,327.7,9085.2
4,CA,108949.3,4081.1,2612.2,8441.4,44949.2
5,CO,40197.9,420.3,744.1999999999999,528.9,8197.6
6,CT,12313.1,713.9,93.9,427.5,1140.5
7,DC,38.5,50.7,0.3,3.5,9.1
8,DE,5794.7,1169.9,39.8,152.0,563.7
9,FL,72378.7,12301.2,419.0,1487.4,15206.8
10,GA,39182.3,19176.6,188.0,933.7,4015.9
11,HI,5038.8,161.7,58.6,3873.9,1564.1
12,IA,97576.2,568.6,273.8,404.40000000000003,2844.4
13,ID,20161.6,67.0,573.1,110.7,2427.8
14,IL,123518.1,6430.8,357.9,1828.3,7068.1
15,IN,64669.9,1151.4,188.1,400.2,2263.0
16,KS,62377.9,644.5,1256.9,286.1,3403.1
17,KY,48419.1,2321.1,110.3,373.3,1168.4
18,LA,30657.3,14556.8,452.8,372.0,1407.9
19,MA,21790.3,680.9,64.7,693.4,1201.9
20,MD,37356.3,10082.3,176.6,1543.7,3072.5
21,ME,12534.9,107.4,71.4,135.2,172.0
22,MI,62744.7,2854.0,745.3,660.3,2446.5
23,MN,83171.0,906.7,3047.0,929.3,2857.4
24,MO,93066.8,6049.900000000001,560.1,565.8,2433.4
25,MS,19475.6,15143.9,584.5,197.7,840.5
26,MT,30833.7,82.7,4332.9,116.4,800.1
27,NC,52850.7,15077.3,1321.4,684.5,4739.1
28,ND,37009.8,143.3,2137.3,117.7,731.0
29,NE,54936.2,243.9,904.6999999999999,169.3,2360.7
30,NH,9185.4,68.7,27.6,128.9,167.5
31,NJ,44084.8,3801.4,140.1,3239.9,6062.0
32,NM,28980.4,295.5,6795.8,218.8,20127.5
33,NV,10620.1,202.2,719.4,258.9,1699.4
34,NY,105676.3,4765.2,429.6,3233.3,7882.1
35,OH,111736.1,4767.8,258.9,904.8,2565.0
36,OK,53454.6,2474.8,10542.1,312.6,4175.5
37,OR,32947.2,199.1,973.3,519.8,3676.1
38,PA,164498.7,5768.7,285.0,1744.6,4820.2
39,RI,3033.7,101.6,22.8,57.4,226.7
40,SC,24480.4,12969.6,182.8,292.3,1767.8
41,SD,33078.9,113.1,4690.4,124.0,794.4
42,TN,38158.3,3132.9,135.8,273.4,1225.3
43,TX,144370.7,10277.8,1151.7,1773.8,68809.8
44,UT,29158.5,125.5,1261.7,251.3,2498.2
45,VA,44086.9,9757.9,202.3,2168.4,3636.4
46,VT,11408.1,91.7,44.0,108.3,164.2
47,WA,51732.1,895.9,2355.2,1930.8,6662.1
48,WI,71858.5,724.5,2025.5,611.3,2568.9
49,WV,38109.2,1169.0,80.3,136.8,362.6
50,WY,18659.5,80.7,625.2,78.7,1215.6
